iter	Passed	Remaining
0	11	11079
1	20	10320
2	31	10340
3	40	10152
4	49	9947
5	58	9769
6	68	9689
7	78	9675
8	87	9654
9	96	9594
10	106	9578
11	115	9533
12	124	9484
13	134	9464
14	143	9394
15	152	9372
16	161	9347
17	171	9337
18	180	9304
19	189	9299
20	199	9312
21	209	9291
22	219	9337
23	229	9339
24	238	9294
25	248	9290
26	257	9294
27	267	9272
28	276	9255
29	285	9225
30	294	9220
31	305	9237
32	315	9253
33	326	9280
34	337	9316
35	348	9340
36	358	9340
37	368	9337
38	378	9329
39	388	9323
40	398	9315
41	407	9305
42	417	9296
43	427	9292
44	437	9283
45	446	9260
46	456	9259
47	466	9255
48	476	9245
49	485	9216
50	495	9219
51	505	9208
52	514	9200
53	524	9185
54	534	9178
55	542	9152
56	552	9132
57	561	9121
58	571	9111
59	581	9116
60	590	9095
61	601	9093
62	611	9093
63	621	9084
64	630	9074
65	640	9064
66	649	9050
67	658	9031
68	667	9011
69	677	8997
70	685	8975
71	694	8954
72	704	8942
73	713	8922
74	721	8897
75	730	8882
76	739	8861
77	747	8839
78	757	8826
79	766	8817
80	775	8799
81	784	8785
82	793	8764
83	802	8748
84	811	8731
85	819	8712
86	829	8701
87	838	8693
88	847	8676
89	856	8659
90	865	8644
91	874	8635
92	883	8618
93	892	8602
94	902	8594
95	911	8583
96	920	8571
97	930	8560
98	940	8556
99	950	8553
100	959	8538
101	967	8521
102	977	8509
103	986	8500
104	995	8487
105	1004	8474
106	1013	8459
107	1022	8445
108	1032	8436
109	1042	8433
110	1052	8433
111	1062	8420
112	1079	8471
113	1092	8492
114	1103	8488
115	1113	8484
116	1122	8468
117	1131	8455
118	1140	8439
119	1149	8426
120	1158	8413
121	1166	8397
122	1175	8383
123	1183	8364
124	1193	8354
125	1202	8344
126	1212	8333
127	1221	8323
128	1232	8320
129	1240	8303
130	1250	8292
131	1258	8276
132	1268	8269
133	1277	8255
134	1286	8242
135	1295	8230
136	1304	8218
137	1313	8204
138	1322	8192
139	1332	8185
140	1341	8170
141	1350	8158
142	1359	8146
143	1368	8133
144	1377	8120
145	1386	8107
146	1396	8100
147	1406	8094
148	1415	8086
149	1426	8082
150	1437	8080
151	1447	8072
152	1457	8070
153	1468	8064
154	1477	8055
155	1487	8046
156	1497	8039
157	1509	8041
158	1518	8033
159	1528	8024
160	1537	8014
161	1547	8005
162	1556	7993
163	1566	7984
164	1575	7971
165	1583	7955
166	1592	7943
167	1601	7932
168	1610	7921
169	1619	7908
170	1629	7898
171	1638	7888
172	1647	7874
173	1656	7861
174	1664	7848
175	1673	7834
176	1682	7822
177	1691	7810
178	1700	7799
179	1709	7788
180	1719	7781
181	1729	7773
182	1739	7764
183	1748	7756
184	1758	7747
185	1767	7736
186	1777	7726
187	1786	7717
188	1796	7707
189	1805	7698
190	1815	7688
191	1825	7681
192	1834	7672
193	1844	7664
194	1854	7656
195	1864	7648
196	1874	7640
197	1883	7630
198	1893	7621
199	1902	7609
200	1911	7597
201	1920	7588
202	1930	7578
203	1939	7567
204	1948	7557
205	1957	7545
206	1966	7534
207	1975	7522
208	1983	7508
209	1992	7497
210	2001	7485
211	2010	7472
212	2019	7462
213	2028	7450
214	2037	7438
215	2046	7427
216	2056	7418
217	2065	7408
218	2074	7397
219	2083	7386
220	2091	7373
221	2100	7361
222	2108	7347
223	2117	7336
224	2126	7324
225	2136	7318
226	2146	7309
227	2156	7301
228	2166	7292
229	2175	7283
230	2186	7277
231	2196	7270
232	2205	7260
233	2215	7252
234	2225	7244
235	2235	7236
236	2244	7227
237	2254	7219
238	2264	7209
239	2273	7200
240	2283	7192
241	2292	7181
242	2301	7170
243	2311	7161
244	2320	7151
245	2330	7143
246	2340	7134
247	2349	7123
248	2359	7116
249	2368	7105
250	2378	7096
251	2387	7086
252	2396	7077
253	2406	7067
254	2416	7059
255	2426	7051
256	2435	7042
257	2446	7034
258	2455	7026
259	2466	7018
260	2476	7010
261	2485	7001
262	2496	6996
263	2506	6988
264	2516	6979
265	2526	6971
266	2536	6962
267	2546	6956
268	2557	6950
269	2568	6943
270	2577	6934
271	2587	6924
272	2596	6914
273	2605	6904
274	2615	6895
275	2626	6889
276	2636	6880
277	2646	6872
278	2656	6865
279	2666	6856
280	2676	6849
281	2686	6841
282	2696	6832
283	2707	6824
284	2717	6817
285	2727	6808
286	2736	6799
287	2746	6790
288	2757	6782
289	2767	6774
290	2777	6767
291	2786	6756
292	2796	6747
293	2804	6735
294	2813	6724
